Id,Riferimento,Impronta,Quantità,Valore,JLCPCB Part #（optional）
2,"R164,R165,R148,R162,R144,R109,R125,R151,R146,R163,R155,R154,R112,R128,R158,R48,R21,R47,R23,R24,R44,R43,R45,R20,R19,R46,R22",R_0402_1005Metric,27,1k,C106235
8,"R139,R118,R133,R122,R135,R131,R114,R116,R140,R123",R_0402_1005Metric,10,100k,C481918
4,"R73,R71,R72,R67,R86,R81,R90,R83,R70,R79,R84,R82,R78,R68,R87,R80,R76,R69,R88,R77,R85,R89,R75,R74",R_0402_1005Metric,24,10,C137925
11,R168,R_0402_1005Metric,1,60,C137954
13,"R115,R132",R_0402_1005Metric,2,6.8k,C137847
17,"R13,R7,R2,R14,R1,R8",R_0402_1005Metric,6,R0,C106231
19,"R129,R110",R_0402_1005Metric,2,15,C138052
25,"R18,R15,R9,R11,R16,R3,R10,R5,R17,R12,R6,R4",R_0402_1005Metric,12,R10,C138052
26,"R117,R134",R_0402_1005Metric,2,301R,C477711
28,"R113,R130",R_0402_1005Metric,2,100,C106232
31,"R143,R141,R142",R_0402_1005Metric,3,5k,C477765
36,"R121,R138",R_0402_1005Metric,2,4.7k,C105871
38,"R167,R147,R166",R_0402_1005Metric,3,200,C114764
42,"R136,R119",R_0402_1005Metric,2,470k,C137976
45,"R127,R124,R108,R111",R_0402_1005Metric,4,600,C5120110
46,"R137,R120",R_0402_1005Metric,2,61.9R,C137953
49,"R107,R126",R_0402_1005Metric,2,31.6K,C276265
52,R145,R_0402_1005Metric,1,25k,C138027
68,"R30,R27,R25,R50,R53,R29,R49,R51,R52,R28,R54,R26",R_0402_1005Metric,12,0.51k,C276273
70,"R58,R32,R62,R59,R39,R65,R64,R56,R38,R61,R66,R37,R34,R40,R63,R31,R57,R33,R41,R42,R55,R60,R36,R35",R_0402_1005Metric,24,10k,C60489
57,"R102,R100",R_0603_1608Metric,2,10,
18,"R177,R175,R105,R173,R176,R174,R106,R104",R_0603_1608Metric,8,5.1,
30,"R95,R99,R92,R103,R101,R97,R94,R98,R96",R_0805_2012Metric,9,56k,
32,"R91,R93",R_1206_3216Metric,2,2K,
22,"R149,R150,R161,R152,R156,R160,R153,R157,R159",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,9,1k,
3,"C103,C64,C115,C22,C116,C11,C30,C2,C61,C73,C55,C21,C70,C5,C3,C12,C108,C109,C107,C20,C23,C1,C67,C19,C111,C13,C10,C58,C14,C4,C28,C117,C29,C42,C39,C53,C37,C41,C40,C38,C52,C49,C54,C50,C51",C_0402_1005Metric,45,100nF,
16,"C101,C94,C99,C96,C97,C95,C98,C100",C_0402_1005Metric,8,100nf,
20,"C7,C104,C105,C15,C112,C113,C25,C6,C24,C16",C_0402_1005Metric,10,1uF,
21,"C63,C60,C66,C69,C68,C57,C65,C59,C72,C56,C62,C71",C_0402_1005Metric,12,220nF,
23,"C85,C84,C83,C81,C82,C86,C90,C87,C88,C91,C89",CP_Radial_D12.5mm_P5.00mm,11,330uF,
27,"C74,C75",C_0603_1608Metric,2,470p,
29,"C27,C18,C9,C8,C26,C17",C_0402_1005Metric,6,10nF,
33,"C118,C121,C120,C119",CP_Elec_5x4.5,4,10uF,
35,"C77,C76,C78",C_0603_1608Metric,3,330p,
37,"C79,C80",C_0805_2012Metric,2,0.22uF,
39,C124,C_0402_1005Metric,1,100n,
40,"C102,C110",C_0402_1005Metric,2,2.2nF,
43,"C123,C122",C_0402_1005Metric,2,47p,
51,"C93,C92",C_0402_1005Metric,2,15pF,
54,"C114,C106,C45,C44,C31,C35,C33,C43,C34,C47,C46,C48,C36,C32",C_0402_1005Metric,14,1nF,
6,"D7,D36,D39,D46,D35,D15,D27,D34,D25,D38,D3,D48,D19,D31,D20,D23,D28,D13,D24,D44,D45,D40,D14,D12,D16,D30,D5,D43,D47,D32,D26,D22,D6,D21,D4,D8,D37,D29,D41,D11,D33,D42",D_SMB,42,SK520B,
14,"D53,D55,D54,D52,D51,D56",LED_0402_1005Metric,6,LED,
34,"D17,D18,D10,D1,D9,D2",D_SOD-323,6,1N4148WS,
69,"D50,D49",TO-263-2,2,STTH802G-TR,
7,"U4,U15,U17,U18,U9,U5,U6,U16,U12,U3,U10,U11",SOT-353_SC-70-5,12,SN74AHC1G08DCKR,
5,"U47,U52,U50,U46,U51,U48,U49,U53,U54",Analog_KS-4,9,ADCMP354,
1,"U8,U7,U2,U14,U13,U1",SOT-353_SC-70-5,6,SN74AHC1G02DCKR,
10,"U40,U39,U36,U37,U38,U33,U23,U35,U34,U28",SOIC-8_3.9x4.9mm_P1.27mm,10,TC4427xOA,
15,"U24,U30,U19,U25,U20,U29",SOIC-8_3.9x4.9mm_P1.27mm,6,IR2101,
