"Package pin","MCU pin","Board net / purpose","Mode / peripheral","AF","Direction","Safe reset state","Notes"
"1","PE2","SPARE4_TRG","TIM3_CH1 input capture","AF2","Input","Input","16-bit capture; extend with overflow epoch"
"2","PE3","IGN9","TIM3_CH2 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"3","PE4","IGN10","TIM3_CH3 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"4","PE5","CJ125_SPI_MISO","SPI4_MISO","AF5","Input","Input","Shared by both CJ125s through a 5 V-to-3.3 V translator"
"5","PE6","CJ125_SPI_MOSI","SPI4_MOSI","AF5","Output","Low","Shared by both CJ125s through a 3.3 V-to-5 V translator"
"6","VBAT","+3V3_BACKUP","Power","","Power","","Tie to +3V3 and decouple if no separate backup supply"
"7","PC13","GPIO12VIN_1","GPIO input","","Input","Input","Low-speed backup-domain pin; do not use as a driven output"
"8","PC14-OSC32_IN","GPIO12VIN_2","GPIO input","","Input","Input","Consumes optional LSE input"
"9","PC15-OSC32_OUT","GPIO12VIN_3","GPIO input","","Input","Input","Consumes optional LSE output"
"10","PF3","GPIO12VIN_4","GPIO input","","Input","Input","General conditioned 12 V input"
"11","PF4","COMP1_OUT","COMP1_OUT","AF2","Output","Low/off","Physical comparator output required by existing external current-limit gate"
"12","VSS","GND","Power","","Power","","Ground"
"13","VDD","+3V3","Power","","Power","","Place local 100 nF decoupling"
"14","PF5","GPIO12VIN_5","GPIO input","","Input","Input","General conditioned 12 V input"
"15","PF7","SPARE1_TRG","TIM5_CH2 input capture","AF6","Input","Input","32-bit capture"
"16","PF8","SPARE2_TRG","TIM5_CH3 input capture","AF6","Input","Input","32-bit capture"
"17","PF9","SPARE3_TRG","TIM5_CH4 input capture","AF6","Input","Input","32-bit capture"
"18","PF10","CJ125_1_HEATER_PWM","TIM15_CH2 PWM","AF3","Output","Low/off","Independent hardware PWM; external heater gate stage must default off"
"19","PF0-OSC_IN","HSE_IN_20MHZ","RCC_OSC_IN","","Clock","Clock","20 MHz HSE crystal/oscillator input"
"20","PF1-OSC_OUT","HSE_OUT_20MHZ","RCC_OSC_OUT","","Clock","Clock","20 MHz crystal output; keep trace short"
"21","PG10-NRST","NRST","System reset","","Input","Pulled high","Route to SWD header and reset supervisor"
"22","PC0","CJ125_1_UA","ADC1_IN6","","Analog input","Analog","Scaled/buffered lambda output; do not connect the raw 5 V-domain output"
"23","PC1","COMP3_INP","COMP3_INP + ADC1_IN7/ADC2_IN7","","Analog input","Analog","Injector current telemetry and hardware threshold"
"24","PC2","COMP3_OUT","COMP3_OUT","AF3","Output","Low/off","Physical comparator output required by existing external current-limit gate"
"25","PC3","VBUS_ADC","ADC1_IN9","","Analog input","Analog","DCDC feedback; remove LED from divider"
"26","PF2","SERIAL_CTRL_OE_N","GPIO output","","Output","High/disabled","External pull-up; keep the complete 24-bit serial output bank disabled until a safe image is latched"
"27","PA0","ANALOG_SPARE","Reserved analog test point","","Reserved","Analog","Keep free for ADC1/2, COMP3 or OPAMP expansion"
"28","PA1","COMP1_INP","COMP1_INP + ADC1_IN2/ADC2_IN2","","Analog input","Analog","Injector current telemetry and hardware threshold"
"29","PA2","USART2_TX","USART2_TX","AF7","Output","High/idle","Moved from COMP2_OUT"
"30","VSS","GND","Power","","Power","","Ground"
"31","VDD","+3V3","Power","","Power","","Place local 100 nF decoupling"
"32","PA3","USART2_RX","USART2_RX","AF7","Input","Input","Moved from COMP2_INP"
"33","PA4","CJ125_2_UA","ADC2_IN17","","Analog input","Analog","Scaled/buffered lambda output; ADC1/ADC2 can sample both UA channels simultaneously"
"34","PA5","GPIO12V_OUT5","GPIO output","","Output","Low","External output stage must default off"
"35","PA6","IGN12","TIM16_CH1 output compare","AF1","Output","Low","Active-high ignition command; external pull-down"
"36","PA7","COMP2_INP","COMP2_INP + ADC2_IN4","","Analog input","Analog","Injector current telemetry and hardware threshold"
"37","PC4","TEMPINJN_ADC","ADC2_IN5","","Analog input","Analog","Injector/board temperature input"
"38","PC5","GPIO12V_OUT6","GPIO output","","Output","Low","External output stage must default off"
"39","PB0","GPIO12V_OUT7","GPIO output","","Output","Low","External output stage must default off"
"40","PB1","COMP4_OUT","COMP4_OUT","AF8","Output","Low/off","Physical comparator output required by existing external current-limit gate"
"41","PB2","VBATT_ADC","ADC2_IN12","","Analog input","Analog","Battery monitor; remove LED from divider"
"42","VSSA","AGND","Analog power","","Power","","Join to ground per ST analog-layout guidance"
"43","VREF+","VREF+","Analog reference","","Power","","Connect and decouple; this package has two VREF+ pins"
"44","VREF_+","VREF+","Analog reference","","Power","","Connect and decouple; do not leave the second VREF+ pin open"
"45","VDDA","+3V3_A","Analog power","","Power","","Filtered analog supply"
"46","VSS","GND","Power","","Power","","Ground"
"47","VDD","+3V3","Power","","Power","","Place local 100 nF decoupling"
"48","PF11","GPIO12VIN_6","GPIO input","","Input","Input","General conditioned 12 V input"
"49","PF12","IGN1","TIM20_CH1 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"50","PF13","IGN2","TIM20_CH2 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"51","PF14","IGN3","TIM20_CH3 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"52","PF15","IGN4","TIM20_CH4 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"53","PE7","COMP4_INP","COMP4_INP + ADC3_IN4","","Analog input","Analog","Injector current telemetry and hardware threshold"
"54","PE8","CJ125_1_UR","ADC3_IN6","","Analog input","Analog","Scaled/buffered Ri/temperature output; do not connect the raw 5 V-domain output"
"55","PE9","IGN5","TIM1_CH1 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"56","PE10","CJ125_2_UR","ADC4_IN14","","Analog input","Analog","Scaled/buffered Ri/temperature output; ADC3/ADC4 can sample both UR channels simultaneously"
"57","PE11","IGN6","TIM1_CH2 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"58","PE12","CJ125_SPI_SCK","SPI4_SCK","AF5","Output","Low","Shared CJ125 clock through a 3.3 V-to-5 V translator; maximum 2 Mbaud"
"59","PE13","IGN7","TIM1_CH3 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"60","PE14","IGN8","TIM1_CH4 output compare","AF2","Output","Low","Active-high ignition command; external pull-down"
"61","PE15","GPIO12V_OUT10","GPIO output","","Output","Low","External output stage must default off"
"62","PB10","GPIO12VIN_12 / DCDC_FAULT","GPIO input or HRTIM1_FLT3","","Input","Input","Route with resistor option so this input can be the external DCDC gate-driver fault"
"63","VSS","GND","Power","","Power","","Ground"
"64","VDD","+3V3","Power","","Power","","Place local 100 nF decoupling"
"65","PB11","DCDC_FAULT","HRTIM1_FLT4","AF13","Input","Fault/active","External gate-driver or analog-latch fault; hardware shutdown independent of firmware"
"66","PB12","BOOST78","HRTIM1_CHC1","AF13","Output","Low","Injector-pair boost command; external pull-down"
"67","PB13","BOOST910","HRTIM1_CHC2","AF13","Output","Low","Injector-pair boost command; external pull-down"
"68","PB14","BOOST1112","HRTIM1_CHD1","AF13","Output","Low","Injector-pair boost command; external pull-down"
"69","PB15","IGN11","HRTIM1_CHD2","AF13","Output","Low","Active-high ignition command; external pull-down"
"70","PD8","INJ12_sel","GPIO output","","Output","Low","Injector pair select; external pull-down"
"71","PD9","INJ34_sel","GPIO output","","Output","Low","Injector pair select; external pull-down"
"72","PD10","INJ56_sel","GPIO output","","Output","Low","Injector pair select; external pull-down"
"73","PD11","COMP6_INP","COMP6_INP + ADC3/4/5_IN8","","Analog input","Analog","Injector current telemetry and hardware threshold"
"74","PD12","COMP5_INP","COMP5_INP + ADC3/4/5_IN9","","Analog input","Analog","Injector current telemetry and hardware threshold"
"75","PD13","INJ78_sel","GPIO output","","Output","Low","Injector pair select; external pull-down"
"76","PD14","DCDC_LIMIT / COMP7_INP","COMP7_INP + ADC3/4/5_IN11","","Analog input","Analog","Dedicated cycle-by-cycle limit; route COMP7 internally to an HRTIM external event"
"77","PD15","INJ910_sel","GPIO output","","Output","Low","Injector pair select; external pull-down"
"78","VSS","GND","Power","","Power","","Ground"
"79","VDD","+3V3","Power","","Power","","Place local 100 nF decoupling"
"80","PC6","COMP6_OUT","COMP6_OUT","AF7","Output","Low/off","Physical comparator output required by existing external current-limit gate"
"81","PC7","COMP5_OUT","COMP5_OUT","AF7","Output","Low/off","Physical comparator output required by existing external current-limit gate"
"82","PG0","CJ125_1_NSS","GPIO output","","Output","High/inactive","Direct chip select; external pull-up on the 5 V CJ125 side"
"83","PG1","CJ125_2_NSS","GPIO output","","Output","High/inactive","Direct chip select; external pull-up on the 5 V CJ125 side"
"84","PG2","SERIAL_CTRL_SCK","SPI1_SCK","AF5","Output","Low","Clock for three cascaded 8-bit output stages"
"85","PG3","GPIO12VIN_7","GPIO input","","Input","Input","SPI1_MISO remains an alternate only if this conditioned input is externalized later"
"86","PG4","SERIAL_CTRL_MOSI","SPI1_MOSI","AF5","Output","Low","Serial data for the 24-bit output image"
"87","PC8","DCDC_PWM_A","HRTIM1_CHE1","AF3","Output","Low","Interleaved converter phase A"
"88","PC9","DCDC_PWM_B","HRTIM1_CHE2","AF3","Output","Low","Interleaved converter phase B; phase origin = period/2"
"89","PA8","BOOST12","HRTIM1_CHA1","AF13","Output","Low","Injector-pair boost command; external pull-down"
