"Bit","Logical signal","Class","Active level","Safe value","Hardware destination","Notes"
"0","CRANK_PULLUP_EN","Trigger pull-up","High","0","CRANK raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"1","CAM1_PULLUP_EN","Trigger pull-up","High","0","CAM1 raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"2","CAM2_PULLUP_EN","Trigger pull-up","High","0","CAM2 raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"3","CAM3_PULLUP_EN","Trigger pull-up","High","0","CAM3 raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"4","CAM4_PULLUP_EN","Trigger pull-up","High","0","CAM4 raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"5","SPARE1_PULLUP_EN","Trigger pull-up","High","0","SPARE1 raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"6","SPARE2_PULLUP_EN","Trigger pull-up","High","0","SPARE2 raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"7","SPARE3_PULLUP_EN","Trigger pull-up","High","0","SPARE3 raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"8","SPARE4_PULLUP_EN","Trigger pull-up","High","0","SPARE4 raw-input pull-up switch","Switch the +5 V pull-up resistor; never drive the trigger net directly"
"9","GPIO12V_OUT1","Slow protected output","High","0","Protected 12 V output stage 1","Serialized; not suitable for scheduled edges or independent high-rate PWM"
"10","GPIO12V_OUT2","Slow protected output","High","0","Protected 12 V output stage 2","Serialized; not suitable for scheduled edges or independent high-rate PWM"
"11","GPIO12V_OUT3","Slow protected output","High","0","Protected 12 V output stage 3","Serialized; not suitable for scheduled edges or independent high-rate PWM"
"12","GPIO12V_OUT4","Slow protected output","High","0","Protected 12 V output stage 4","Serialized; not suitable for scheduled edges or independent high-rate PWM"
"13","GPIO12V_OUT8","Slow protected output","High","0","Protected 12 V output stage 8","Serialized; not suitable for scheduled edges or independent high-rate PWM"
"14","GPIO12V_OUT9","Slow protected output","High","0","Protected 12 V output stage 9","Serialized; not suitable for scheduled edges or independent high-rate PWM"
"15","GPIO12V_OUT11","Slow protected output","High","0","Protected 12 V output stage 11","Serialized; not suitable for scheduled edges or independent high-rate PWM"
"16","GPIO12V_OUT12","Slow protected output","High","0","Protected 12 V output stage 12","Serialized; not suitable for scheduled edges or independent high-rate PWM"
"17","LED2","Status","High","0","Status LED 2 resistor/LED","External pull-down keeps LED off while /OE is high"
"18","CJ125_RESET_RELEASE","Lambda control","High","0","Shared 5 V-domain CJ125 /RST translator","Zero or high impedance must assert reset; one releases both CJ125s"
"19","SERIAL_SPARE0","Reserved","High","0","Test pad or DNP","Keep at zero in the safe image"
"20","SERIAL_SPARE1","Reserved","High","0","Test pad or DNP","Keep at zero in the safe image"
"21","SERIAL_SPARE2","Reserved","High","0","Test pad or DNP","Keep at zero in the safe image"
"22","SERIAL_SPARE3","Reserved","High","0","Test pad or DNP","Keep at zero in the safe image"
"23","SERIAL_SPARE4","Reserved","High","0","Test pad or DNP","Keep at zero in the safe image"
